iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,favourable
50,50,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",71,96864.53905408784,-3.1354609459121607,-11.905827109259782,39.436619718309856,0.9239482978470904,-0.03741784037561542,False
51,51,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",109,105255.82269478509,5.255822694785084,-11.97177568633656,43.11926605504588,1.0888620454786448,0.05464831804278301,False
52,52,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",103,106508.05403210905,6.508054032109056,-12.403362398480688,43.689320388349515,1.117059554918889,0.06889967637537373,False
53,53,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",97,110497.42033918478,10.497420339184792,-11.497688746654777,45.36082474226804,1.2035471875879717,0.11068728522333596,False
54,54,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",91,106370.62724205595,6.370627242055948,-9.819755516154682,43.956043956043956,1.12883479257156,0.07556776556773455,False
55,55,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",85,102397.95920245546,2.3979592024554686,-13.699595861422742,42.35294117647059,1.052385296246987,0.03549019607840126,False
56,56,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",82,103005.2738629385,3.0052738629384956,-13.699595861422754,42.68292682926829,1.0683147472597745,0.04373983739834371,False
57,57,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",75,110695.43115509118,10.695431155091173,-11.383347138795818,46.666666666666664,1.2740936649427597,0.14333333333330092,False
58,58,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",72,100777.68516222844,0.7776851622284475,-12.290190886408825,41.66666666666667,1.0191437480301846,0.018333333333303576,False
59,59,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",72,103323.17614904919,3.3231761490492007,-8.982213670963912,43.05555555555556,1.081454546039538,0.053055555555525026,False
60,60,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",62,101088.71250384448,1.08871250384448,-8.724096227562505,41.935483870967744,1.0305344194337052,0.02505376344083033,False
61,61,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",89,105906.52144796243,5.906521447962421,-9.658152976167155,43.82022471910113,1.1201321850711743,0.07217228464416388,False
62,62,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",86,109225.54816547135,9.225548165471341,-9.658152976167155,45.348837209302324,1.1969160395954044,0.11038759689919307,False
63,63,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",85,113142.241590004,13.142241590004012,-9.658152976167155,47.05882352941176,1.2923249917423394,0.15313725490192817,False
64,64,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",79,106233.37777307791,6.233377773077908,-8.724096227562505,44.303797468354425,1.143513605044414,0.08426160337549632,False
65,65,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",75,102713.98715037253,2.713987150372521,-11.38334713879583,42.66666666666667,1.066315095708085,0.043333333333303026,False
66,66,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",72,100777.68516222839,0.7776851622283809,-11.383347138795852,41.66666666666667,1.0194988379315244,0.01833333333330363,False
67,67,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",65,103030.99044647659,3.030990446476589,-9.936114618179715,43.07692307692308,1.0837099510888737,0.05358974358971308,False
68,68,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",63,100054.2380125551,0.05423801255510785,-10.857768378587018,41.269841269841265,1.0015072221614325,0.008412698412668888,False
69,69,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",63,102581.45582515115,2.5814558251511466,-8.041168293163947,42.857142857142854,1.071266409577454,0.048095238095207736,False
70,70,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",55,100802.8455997678,0.8028455997677986,-7.495767319439183,41.81818181818181,1.0253217096049223,0.022121212121182256,False
71,71,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.8, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",72,111351.95750300442,11.351957503004417,-9.658152976167155,47.22222222222222,1.299513156047767,0.1572222222221895,False
72,72,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.8, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",71,112503.24066581808,12.503240665818094,-9.518850620989227,47.88732394366197,1.3362110060624934,0.1738497652581829,False
73,73,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.8, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",69,112012.3776597319,12.012377659731888,-9.518850620989227,47.82608695652174,1.331108013777735,0.17231884057967709,False
74,74,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.8, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",66,107193.24965114144,7.193249651141431,-9.518850620989227,45.45454545454545,1.2012834171549345,0.11303030303027123,False
75,75,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.8, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",64,106725.55467236124,6.725554672361245,-10.83551288078296,45.3125,1.197812854346444,0.10947916666663494,False
76,76,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.8, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",62,103642.05956806435,3.6420595680643375,-11.24670494187139,43.54838709677419,1.1083424222227485,0.06537634408599073,False
77,77,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.8, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",55,105959.40988345553,5.959409883455535,-9.797240865168511,45.45454545454545,1.2032881150386052,0.11303030303027126,False
78,78,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.8, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",54,101845.06004758811,1.8450600475881096,-10.720315766981647,42.592592592592595,1.0614111868448715,0.0414814814814512,False
79,79,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.8, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",54,104417.51129992664,4.417511299926646,-8.041168293163937,44.44444444444444,1.1460071667543963,0.08777777777774656,False
80,80,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.8, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",49,109928.22617202703,9.92822617202702,-5.985045242860309,48.97959183673469,1.3843356851567303,0.20115646258500036,False
81,81,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.0, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",65,108301.53536302304,8.30153536302305,-8.583353606226263,46.15384615384615,1.2393117316212132,0.13051282051278834,False
82,82,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.0, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",64,109421.27979290379,9.421279792903793,-8.583353606226263,46.875,1.2775616165671941,0.1485416666666341,False
83,83,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.0, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",62,108943.86369350019,8.943863693500177,-8.583353606226263,46.774193548387096,1.2709802078854802,0.14602150537631162,False
84,84,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.0, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",60,105796.27761279655,5.796277612796552,-8.583353606226263,45.0,1.1767332664033516,0.10166666666663512,False
85,85,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.0, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",59,106890.11983915057,6.890119839150577,-8.982213670963901,45.76271186440678,1.216793717621978,0.12073446327680425,False
86,86,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.0, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",56,104875.09192231481,4.8750919223148115,-8.041168293163937,44.642857142857146,1.1589062236240446,0.09273809523806388,False
87,87,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.0, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",49,107220.01181637819,7.220011816378191,-7.090393318119359,46.93877551020408,1.2776349906203253,0.15013605442173616,False
88,88,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.0, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",48,103056.71345048859,3.0567134504885907,-8.041168293163937,43.75,1.1142606357931395,0.07041666666663576,False
89,89,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.0, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",48,103056.71345048855,3.0567134504885463,-6.539353368914391,43.75,1.1115024241009746,0.0704166666666358,False
90,90,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.0, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",42,104282.78192632503,4.28278192632503,-7.090393318119381,45.23809523809524,1.183957829203958,0.10761904761901593,False
91,91,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.2, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",48,100517.78709343224,0.5177870934322426,-10.582651210711058,41.66666666666667,1.0190764121107885,0.018333333333303576,False
92,92,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.2, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",47,101557.05428225397,1.5570542822539668,-9.658152976167155,42.5531914893617,1.0590658635929748,0.040496453900678936,False
93,93,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.2, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",45,101113.95059333609,1.1139505933360994,-9.379333468939222,42.22222222222222,1.043787670811075,0.03222222222219212,False
94,94,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.2, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",43,98192.5849224073,-1.8074150775927,-9.658152976167155,39.53488372093023,0.928549372683998,-0.03496124031010619,False
95,95,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.2, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",42,101713.64989450351,1.7136498945035106,-8.724096227562539,42.857142857142854,1.0724769434712182,0.048095238095207694,False
96,96,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.2, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",39,102316.90596750821,2.3169059675082204,-7.780382138109154,43.58974358974359,1.1058809911833756,0.06641025641022562,False
97,97,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.2, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",37,99360.78473106996,-0.6392152689300379,-9.122342218022972,40.54054054054054,0.970572071747251,-0.00981981981984902,False
98,98,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.2, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",37,94525.34562937086,-5.474654370629139,-10.052323582658573,35.13513513513514,0.7664601980750463,-0.1449549549549813,False
99,99,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.2, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",35,96490.07120591741,-3.509928794082584,-7.233434461144905,37.142857142857146,0.8401108021255485,-0.09476190476193212,False
100,100,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 2.2, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",33,100983.4837869908,0.983483786990802,-5.985045242860321,42.42424242424242,1.0506942188425954,0.03727272727269707,False
